fileName,Bat,Cockatoo,Crocodile,Dingo,Duck,Frog,FrogmouthTawny,Koala,Kookaburra,Magpie,Platypus,Possum,Snake,Wombat
0_100_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_101_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_102_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_103_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_104_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_14_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_15_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_16_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_17_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_18_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_19_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0_20_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_21_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_22_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_23_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_24_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_25_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_26_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_27_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_28_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_29_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0_30_0_3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0_31_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_32_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_33_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_34_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_35_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_36_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_37_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_38_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0_39_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0_40_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0_41_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0_42_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0_43_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0_44_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_45_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_46_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_47_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_48_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_49_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_50_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_51_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_52_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_53_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
